V4-0,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
org.jabref.gui.plaintextimport,1,13,13,38,0.17,0.76,678
org.jabref.gui.preftabs,1,49,44,169,0.16,0.84,4530
org.jabref.gui.protectedterms,0,10,7,32,0.18,0.83,534
org.jabref.gui.push,1,16,19,69,0.08,0.81,984
org.jabref.gui.remote,0,1,2,5,0.29,0.71,21
org.jabref.gui.renderer,0,3,6,5,0.55,0.45,113
org.jabref.gui.search,0,26,15,62,0.19,0.8,1191
org.jabref.gui.search.matchers,0,2,2,2,0.5,0.5,28
org.jabref.gui.shared,0,8,7,40,0.15,0.85,676
org.jabref.gui.specialfields,0,9,16,45,0.26,0.74,503
org.jabref.gui.undo,0,12,81,51,0.61,0.39,516
org.jabref.gui.util,0,43,99,20,0.79,0.18,2018
org.jabref.gui.util.comparator,0,4,6,8,0.43,0.57,115
org.jabref.gui.util.component,0,11,14,7,0.67,0.32,679
org.jabref.gui.worker,1,8,20,44,0.06,0.69,621
org.jabref.logic,5,408,6,4,0.6,0.4,36205
org.jabref.logic.autosaveandbackup,0,2,7,8,0.47,0.53,228
org.jabref.logic.auxparser,0,2,5,6,0.45,0.55,233
org.jabref.logic.bibtex,0,14,30,20,0.6,0.4,1129
org.jabref.logic.bibtex.comparator,0,7,15,8,0.65,0.36,366
org.jabref.logic.bibtexkeypattern,0,2,23,11,0.68,0.32,1360
org.jabref.logic.bst,0,21,20,19,0.41,0.52,2181
org.jabref.logic.citationstyle,0,6,14,11,0.56,0.38,333
org.jabref.logic.cleanup,0,14,29,65,0.31,0.71,908
org.jabref.logic.exporter,2,22,74,77,0.31,0.52,2875
org.jabref.logic.formatter,0,26,4,7,0.36,0.64,1430
org.jabref.logic.formatter.bibtexfields,0,14,34,37,0.48,0.52,825
org.jabref.logic.formatter.casechanger,0,9,16,21,0.43,0.57,412
org.jabref.logic.formatter.minifier,0,1,1,2,0.33,0.67,64
org.jabref.logic.groups,0,1,4,2,0.67,0.33,14
org.jabref.logic.help,0,1,15,0,1,0,71
org.jabref.logic.importer,2,83,99,60,0.04,0.38,10621
org.jabref.logic.importer.fetcher,1,25,28,132,0.14,0.83,2162
org.jabref.logic.importer.fileformat,0,25,36,95,0.27,0.73,6342
org.jabref.logic.importer.fileformat.mods,n/a,n/a,n/a,n/a,n/a,n/a,12
org.jabref.logic.importer.util,0,9,12,28,0.19,0.7,851
org.jabref.logic.integrity,0,33,36,113,0.18,0.76,1025
org.jabref.logic.journals,0,6,32,5,0.86,0.14,390
org.jabref.logic.l10n,0,7,80,3,0.96,0.04,275
org.jabref.logic.layout,1,75,36,15,0.33,0.29,4075
org.jabref.logic.layout.format,0,67,84,116,0.42,0.58,2887
org.jabref.logic.logging,0,2,3,0,1,0,54
org.jabref.logic.msbib,0,8,10,13,0.43,0.57,896
org.jabref.logic.net,0,7,17,4,0.81,0.19,554
org.jabref.logic.openoffice,0,11,18,21,0.46,0.57,1669
org.jabref.logic.pdf,0,6,6,12,0.13,0.67,281
org.jabref.logic.preferences,0,1,7,0,1,0,39
org.jabref.logic.protectedterms,0,4,14,5,0.74,0.26,354
org.jabref.logic.remote,0,8,4,0,1,0,279
org.jabref.logic.remote.client,0,1,1,2,0.33,0.67,42
org.jabref.logic.remote.server,0,4,6,5,0.3,0.45,145
org.jabref.logic.remote.shared,0,1,2,0,1,0,57
org.jabref.logic.search,0,9,13,9,0.34,0.41,395
org.jabref.logic.search.rules,0,5,n/a,n/a,n/a,n/a,173
org.jabref.logic.search.rules.describer,0,5,5,11,0.06,0.69,173
org.jabref.logic.specialfields,0,1,3,4,0.43,0.57,99
org.jabref.logic.undo,0,3,6,2,0.75,0.25,65
org.jabref.logic.util,0,28,75,8,0.9,0.09,3083
org.jabref.logic.util.io,0,12,36,19,0.57,0.35,1034
org.jabref.logic.util.strings,0,7,12,0,1,0,1408
org.jabref.logic.xmp,0,4,13,8,0.62,0.38,1237
org.jabref.migrations,0,3,3,26,0.1,0.9,488
org.jabref.model,10,175,54,6,0.57,0.09,12374
org.jabref.model.bibtexkeypattern,1,3,20,2,0.58,0.09,156
org.jabref.model.cleanup,0,4,21,9,0.2,0.3,272
org.jabref.model.database,0,16,149,25,0.86,0.14,1218
org.jabref.model.database.event,0,6,24,8,0.75,0.25,108
org.jabref.model.entry,3,99,324,39,0.77,0.11,6216
org.jabref.model.entry.event,1,5,35,10,0.58,0.22,147
org.jabref.model.entry.identifier,0,7,27,11,0.57,0.29,530
org.jabref.model.entry.specialfields,0,2,12,3,0.8,0.2,127
org.jabref.model.groups,3,14,54,36,0.29,0.4,1011
org.jabref.model.groups.event,0,1,1,2,0.33,0.67,15
org.jabref.model.metadata,0,7,55,13,0.81,0.2,551
org.jabref.model.metadata.event,0,1,2,2,0.5,0.5,18
org.jabref.model.pdf,0,2,5,1,0.83,0.17,223
org.jabref.model.search,1,18,6,4,0.1,0.4,562
org.jabref.model.search.matchers,1,6,10,10,0.33,0.59,110
org.jabref.model.search.rules,0,10,22,15,0.49,0.37,391
org.jabref.model.strings,0,3,41,1,0.98,0.02,888
org.jabref.model.util,0,3,19,3,0.86,0.14,257
org.jabref.pdfimport,0,5,8,28,0.22,0.84,478
org.jabref.preferences,0,13,85,48,0.56,0.37,1953
org.jabref.shared,1,20,22,31,0.29,0.58,1662
org.jabref.shared.event,0,3,6,4,0.6,0.4,65
org.jabref.shared.exception,0,5,6,2,0.75,0.25,63
org.jabref.shared.listener,0,2,2,3,0.4,0.6,36
org.jabref.shared.prefs,0,1,5,3,0.62,0.38,102
org.jabref.shared.security,0,1,3,0,1,0,57
osx,0,1,n/a,n/a,n/a,n/a,69
osx.macadapter,0,1,1,1,0.5,0.5,69
osx.macadapter,0,1,1,1,0.5,0.5,69
